English,Korea
peace,평화
habit,습관
culture,문화
useful,유용한
famous,유명한
respect,존경하다
achieve,성취하다
away,"멀어지다, 작아지다"
skill,기술
motto,좌우명
curious,호기심 많은
nervous,불안해하는
work,효과가 있다
happen,발생하다
leave,떠나다
leaf,나뭇잎(복수형:leaves)
fault,"잘못, 고장"
wisdom,지혜
scary,"무서운, 겁나는"
exactly,정확하게
donate,기부하다
reduce,줄이다
deuce,"게임의 듀스, 불운"
correct,정확한
incorrect,부정확한
battle,전투
sunrise,일출
sunset,일몰
thirsty,목마른
common,흔한
praise,칭찬하다
predict,예측하다
expect,"예상하다, 기대하다"
forecast,"예보, 전망하다"
vehicle,"자동차, 발사체"
myth,신화
receipt,영수증
honest,정직한
diligent,부지런한
skip,거르다
escape,탈출하다
safety,안전
patient,"환자, 인내심"
rude,무례한
similar,비슷한
deliver,배달하다
improve,"개선하다, 향상하다"
prove,"증명하다, 입증하다"
pain,고통
cage,우리
empty,비어 있는
chemical,화학적인
create,창조하다
destroy,파괴하다
soil,토양
recipe,요리법
unique,독특한
absent,결석한
forgive,용서하다
express,"표현하다, 고속의"
cash,현금
fear,"두려움, 불안한, 두려워하다, 불안해하다"
lately,최근에
positive,긍정적인
repeat,반복하다
promise,약속하다
seed,씨앗
limit,한계
serious,"심각한, 진지한"
negative,부정적인
nod,끄덕이다
pour,붓다
manage,"간신히 해내다, 관리하다"
piece,조각
rule,규칙
human,인간
helpful,도움이 되는
strange,이상한
imagine,상상하다
produce,생산하다
fell,"넘어지다, 내리다, 떨어지다"
dash,돌진하다
beauty,아름다움
result,결과
natural,자연적인
proud,자랑스러운
judge,판단하다
borrow,빌리다
jersey,유니폼
diffuse,확산된
floor,"바닥, 층"
fact,사실
opinion,의견
popular,인기있는
population,인구
actually,실제로
invent,발명하다
prefer,선호하다
flag,깃발
danger,위험
amazing,놀라운
possible,가능한
throw,던지다
protect,보호하다
compose,구성하다
tear,"눈물, 찢다, 구멍을 뚫다"
seed,씨앗
limit,한계
serious,"심각한, 진지한"
negative,부정적인
nod,끄덕이다
pour,붓다
manage,"간신히 해내다, 관리하다"
flag,깃발
danger,위험
amazing,놀라운
possible,가능한
throw,던지다
protect,보호하다
compose,구성하다
tear,"눈물, 찢다, 구멍을 뚫다"
talent,재능
subject,주제
foreign,외국의
various,다양한
virus,바이러스
complain,불평하다
appear,나타나다
thunder,천둥
lightning,번개
public,공공의
private,사적인
cause,"원인, 야기하다"
include,포함하다
probe,조사하다
allow,"허락하다, 용납하다"
youth,젊음
arrow,화살
convenient,편리한
comfortable,편안한
increase,증가하다
decrease,감소하다
master,주인
servant,하인
slave,노예
elderly,연세 드신
ancient,고대의
discover,발견하다
apologize,사과하다
clue,단서
chance,기회
confident,자신감있는
regularly,"규칙적으로, 정기적으로"
return,반납하다
recycle,재활용하다
crow,까마귀
parrot,앵무새
shy,수줍어하는
active,적극적인
feed,먹이를주다
digest,소화하다
present,"현재의, 발표하다, 선물"
past,과거
poet,시인
poem,시
topic,주제
decision,결정
move,"조치, 행동, (몸 등을) 움직이다; 움직이게 하다, 옮기다"
moved,감동받은
moving,감동적인
mean,의미하다
discuss,토론하다
dicide,결정하다
involve,참여하다
remain,"계속[여전히] …이다, (없어지지 않고) 남다, (처리·이행 등을 해야 할 일이) 남아 있다, 아직 …해야 하다"
politics,정치
political,정치적인
economy,경제
touch,"(손 등으로) 만지다[건드리다], (손 등을) 대다"
touched,감동받은
touching,감동적인
rise,오르다
raise,올리다
drop,떨어지다
valid,유효한
validate,유효하게 만들다
vaildation,"유효성, 실증, 검증"
invalid,"무효한, 효력없는, 병약한"
male,남성
female,여성
pair,한 쌍
lovely,사랑스러운
friendly,친철한
fix,"고정시키다, 고치다"
repair,수리하다
normal,"보통의, 평범한, 정상적인"
ceiling,천장
bottom,바닥
eastern,동쪽의
western,서쪽의
boil,끊다
melt,녹다
build,"만들다, 짓다, 건설하다"
bone,뼈
length,"길이, 기간, 세로"
height,높이
weight,무게
width,"폭, 너비"
depth,깊이
local,지역의
global,세계적인
import,수입하다
export,수출하다
obvious,분명한
specific,"분명한, 특정한"
specification,"규격, 사양, 설명서"
proof,증명
inspect,"점검하다, 검사하다, 사찰하다"
inspection,조사
able,할 수 있는
likely,할 것 같은
ability,"(~을) 할 수 있음, 능력, 재능"
close,"가까이, 닫다"
shoot,"발사하다, 촬영하다, 쏘다"
thief,도둑
effort,노력
thin,얇은
skinny,매우 마른
realize,깨닫다
consider,간주하다
survey,조사
society,사회
social,사회의
native,원주민의
creative,창의적인
accept,받아들이다
provide,제공하다
value,가치
surface,표면
tiny,작은
main,주된
favourite,"좋아하는, 인기있는"
develop,"개발하다, 발전하다, 발전시키다"
disappear,사라지다
cancer,암
cancel,취소하다
disease,질병
painful,고통스러운
healthy,건강한
suffer,고통받다
recover,회복하다
crime,범죄
soap,비누
dawn,새벽
fair,공정한
neat,단정한
cure,치료하다
bark,짖다
interaction,"관계, 상호작용, 소통"
modify,"변경하다, 변형하다, 조절하다"
thing,"물건, (사물을 가르키는)어떤 것, 어떤 거"
think,"(…라고) 생각하다, (생각에) …일 것 같다; (…라고) 믿다"
stuff,"물건, 채워넣다"
route,경로
modern,현대의
precious,귀중한
remove,제거하다
contain,포함하다
share,공유하다
bespoke,맞춤형
root,뿌리
stem,줄기
alike,비슷한
unlike,~와 달리
afraid,두려워하는
matter,"문제, 중요하다"
behave,행동하다
die,"사망하다, 사라지다"
plan,"계획,  계획하다"
planet,"비행기, 평면인, 평평한, 활공하다"
planet,행성
reason,이유
totally,완전히
suddenly,갑자기
receive,받다
prepare,준비하다
keep ,"유지하다, 계속하다"
bean,콩
flood,홍수
drought,가뭄
highly,매우
hardly,거의~않는
interrupt,방해하다
overcome,극복하다
appliance,"기기, 가전기기"
assess,"평가, 검토"
access,"접속, 접근, 출입"
education,교육
knowledge,지식
closely,주의깊게
annoy,짜증나게 하다
bother,"신경 쓰다[쓰이게하다], 애를 쓰다, 괴롭히다"
balance,균형
harmony,조화
embarrass,당황스럽게[어색하게/쑥스럽게] 만들다
embarrassed,당황한
embarrassing,당황하게 하는
mop,대걸레로 닦다
sweep,쓸다
must,"~임에 틀림없다, ~해야 한다"
college,대학
university,대학
generous,관대한
gorgeous,아주 멋진
regret,후회하다
